기관명,소계,방범용,"도시공원, 놀이터",어린이 보호,쓰레기 무단투기,기타
강남구,"4,758","3,297",385,567,0,509
강동구,"1,493",810,96,164,27,396
강북구,946,633,94,114,0,105
강서구,"1,202",807,78,228,28,61
관악구,"3,223","1,998",204,279,130,612
광진구,"1,228",894,34,162,72,66
구로구,"2,746","1,601",308,445,29,363
금천구,"1,526",790,152,207,32,345
노원구,"1,576",871,246,178,126,155
도봉구,899,358,98,94,61,288
동대문구,"1,555",992,100,311,19,133
동작구,"1,792","1,255",103,188,0,246
마포구,"1,743","1,077",99,134,0,433
서대문구,"2,705","1,865",88,216,0,536
서초구,"1,868","1,045",343,137,0,343
성동구,"2,554","1,544",94,381,77,458
성북구,"2,221","1,401",100,350,106,264
송파구,"1,203",549,156,173,19,306
양천구,"2,498","1,491",113,755,8,131
영등포구,"1,839",964,107,168,49,551
용산구,"2,379","1,522",120,179,0,558
은평구,"2,505","1,475",226,607,3,194
종로구,"1,925","1,145",85,38,0,657
중구,"1,260",604,133,51,60,412
중랑구,"1,053",657,75,55,9,257
